Sisa Makanan,Kayu/Ranting,Kertas/Karton,Plastik,Logam,Kain,Karet/Kulit,Kaca,Lainnya,postal_code,Provinsi,Kabupaten/Kota,Kelurahan,Kecamatan,Fasilitas_ID,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahterkelola (ton/thn),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Bahan baku Sumber Energi
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GUNUNGKETUR,PAKUALAMAN,490,2,Bank Sampah Unit Bawono,BSU,A,0.0,0.0,0.0,0.0,937.2,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GUNUNGKETUR,PAKUALAMAN,491,2,Bank Sampah Unit Kidpag,BSU,A,0.0,0.0,0.0,0.0,1135.71,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PATANGPULUHAN,WIROBRAJAN,187,2,Bank Sampah Unit Sindu Rukun,BSU,A,0.0,0.0,0.0,0.0,2425.8,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SURYATMAJAN,DANUREJAN,188,2,Bank Sampah Unit Surya Mulia,BSU,A,0.0,0.0,0.0,0.0,2599.9,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PURBAYAN,KOTAGEDE,189,2,Bank Sampah Unit Kembang Basen,BSU,A,0.0,0.0,0.0,0.0,636.0,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GIWANGAN,UMBULHARJO,190,2,Bank Sampah Unit Giwang Bersih 1,BSU,A,0.0,0.0,18.0,78.0,791.4,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,KOTABARU,GONDOKUSUMAN,191,2,Bank Sampah Unit Piranti,BSU,A,0.0,0.0,31.71,0.0,588.86,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,TERBAN,GONDOKUSUMAN,192,2,Bank Sampah Unit Wolu Manunggal,BSU,A,0.0,0.0,0.0,0.0,416.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,BUMIJO,JETIS,193,2,Bank Sampah Unit Berseri 34 Bumijo,BSU,A,0.0,0.0,0.0,0.0,4397.34,0.0,0.0
1,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,SEMAKI,UMBULHARJO,194,2,Bank Sampah Unit Ayu,BSU,A,0.0,0.0,22.5,33.0,1533.3,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PRAWIRODIRJAN,GONDOMANAN,195,2,Bank Sampah Unit Nurani Lestari,BSU,A,0.0,0.0,0.0,0.0,470.8,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,GUNUNGKETUR,PAKUALAMAN,492,2,Bank Sampah Unit Giri Cemara,BSU,A,0.0,0.0,0.0,0.0,72.0,0.0,0.0
0,1,1,1,1,1,1,1,1,55111,D.I. Yogyakarta,YOGYAKARTA,PATANGPULUHAN,WIROBRAJAN,196,2,Bank Sampah Unit Pilah Sampah,BSU,A,0.0,0.0,0.0,0.0,681.0,0.0,0.0
